array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
NA,0.05,TRUE,0.762692677070828,514,176,143,833,738,0.461325966850829,0.875295974743489
NA,0.05,TRUE,0.787672963400236,491,199,157,847,769,0.539068666140489,0.941988950276243
NA,0.05,TRUE,0.78710507674144,491,199,157,847,768,0.539068666140489,0.941988950276243
NA,0.05,TRUE,0.794856301531213,482,208,159,849,779,0.630228887134964,0.94869771112865
NA,0.05,TRUE,0.809604923798359,471,219,163,853,800,0.642067876874507,0.961325966850829
NA,0.05,TRUE,0.557402739726027,610,80,40,730,491,0.366614048934491,0.875690607734807
NA,0.05,TRUE,0.92727195945946,259,431,494,1184,1161,0.867403314917127,0.994080505130229
NA,0.05,TRUE,0.556277091906722,610,80,39,729,487,0.366614048934491,0.875690607734807
NA,0.05,TRUE,0.55658024691358,610,80,39,729,490,0.366614048934491,0.875690607734807
NA,0.05,TRUE,0.556776406035665,610,80,39,729,489,0.366614048934491,0.875295974743489
NA,0.05,TRUE,0.895994633273703,346,344,428,1118,1083,0.794001578531965,0.981452249408051
NA,0.05,TRUE,0.557120547945205,610,80,40,730,490,0.366614048934491,0.875690607734807
NA,0.05,TRUE,0.570742547425474,614,76,48,738,497,0.589976322020521,0.945540647198106
NA,0.05,TRUE,0.570914634146341,614,76,48,738,497,0.589976322020521,0.945540647198106
NA,0.05,TRUE,0.580997297297297,609,81,50,740,507,0.589976322020521,0.948303078137332
NA,0.05,TRUE,0.659782936010038,585,105,107,797,622,0.503157063930545,0.886345698500395
